0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:02 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:25 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:25 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:27 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:27 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:27 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:27 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:55 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:55 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:56 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:56 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:57 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:57 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:57 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:44:57 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:00 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:00 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:01 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:02 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:02 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:02 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:02 +0900] "GET /myhome1/test/images/first.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:52 +0900] "GET /myhome1/test/test2/test1.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:45:52 +0900] "GET /myhome1/images/first.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2022:14:46:09 +0900] "GET /myhome1/test/test2/test2.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [29/Dec/2022:15:10:16 +0900] "GET /myhome1/index.html HTTP/1.1" 200 162
